county,type,request_url,method,payload,header
Fresno,N/A,https://cofgisonline.maps.arcgis.com/apps/MapSeries/index.html?appid=1f82e8eb24c0403c90e774202c5dafea,N/A,N/A,
Kern,Cases,https://wabi-us-gov-iowa-api.analysis.usgovcloudapi.net/public/reports/querydata?synchronous=true,POST,"{""version"":""1.0.0"",""queries"":[{""Query"":{""Commands"":[{""SemanticQueryDataShapeCommand"":{""Query"":{""Version"":2,""From"":[{""Name"":""n"",""Entity"":""nCoV Condition""}],""Select"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""n""}},""Property"":""nCoV17""},""Name"":""nCoV Condition.nCoV17""},{""Measure"":{""Expression"":{""SourceRef"":{""Source"":""n""}},""Property"":""CurrentCaseCount""},""Name"":""nCoV Condition.CurrentCaseCount""}],""Where"":[{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""n""}},""Property"":""AgeGroup""}}],""Values"":[[{""Literal"":{""Value"":""null""}}]]}}}}},{""Condition"":{""Not"":{""Expression"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""n""}},""Property"":""Region""}}],""Values"":[[{""Literal"":{""Value"":""'Check Address'""}}],[{""Literal"":{""Value"":""null""}}]]}}}}}]},""Binding"":{""Primary"":{""Groupings"":[{""Projections"":[0,1]}]},""DataReduction"":{""DataVolume"":3,""Primary"":{""Top"":{}}},""Version"":1}}}]},""CacheKey"":""{\""Commands\"":[{\""SemanticQueryDataShapeCommand\"":{\""Query\"":{\""Version\"":2,\""From\"":[{\""Name\"":\""n\"",\""Entity\"":\""nCoV Condition\""}],\""Select\"":[{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""n\""}},\""Property\"":\""nCoV17\""},\""Name\"":\""nCoV Condition.nCoV17\""},{\""Measure\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""n\""}},\""Property\"":\""CurrentCaseCount\""},\""Name\"":\""nCoV Condition.CurrentCaseCount\""}],\""Where\"":[{\""Condition\"":{\""Not\"":{\""Expression\"":{\""In\"":{\""Expressions\"":[{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""n\""}},\""Property\"":\""AgeGroup\""}}],\""Values\"":[[{\""Literal\"":{\""Value\"":\""null\""}}]]}}}}},{\""Condition\"":{\""Not\"":{\""Expression\"":{\""In\"":{\""Expressions\"":[{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""n\""}},\""Property\"":\""Region\""}}],\""Values\"":[[{\""Literal\"":{\""Value\"":\""'Check Address'\""}}],[{\""Literal\"":{\""Value\"":\""null\""}}]]}}}}}]},\""Binding\"":{\""Primary\"":{\""Groupings\"":[{\""Projections\"":[0,1]}]},\""DataReduction\"":{\""DataVolume\"":3,\""Primary\"":{\""Top\"":{}}},\""Version\"":1}}}]}"",""QueryId"":"""",""ApplicationContext"":{""DatasetId"":""058e2058-6a36-4b57-95c5-61a9a4154411"",""Sources"":[{""ReportId"":""7ef83e30-2a44-40c9-bfad-2b8e55ca6cac""}]}}],""cancelQueries"":[],""modelId"":283897}","{ 'Accept': 'application/json, text/plain, */*',
                  'Accept-Encoding': 'gzip, deflate, br',
                    'Accept-Language': 'en-US,en;q=0.9',
                    'ActivityId': 'fc9ca2a8-2117-4ff1-8b02-f37fecc2af30',
                    'Connection': 'keep-alive',
                    'Content-Length': '2193',
                    'Content-Type': 'application/json;charset=UTF-8',
                    'Host': 'wabi-us-gov-virginia-api.analysis.usgovcloudapi.net',
                    'Origin': 'https://app.powerbigov.us',
                    'Referer': 'https://app.powerbigov.us/view?r=eyJrIjoiZTg2MTlhMWQtZWE5OC00ZDI3LWE4NjAtMTU3YWYwZDRlOTNmIiwidCI6IjBhYzMyMDJmLWMzZTktNGY1Ni04MzBkLTAxN2QwOWQxNmIzZiJ9',
                    'RequestId': 'e7d497ff-67a8-68e7-7197-12da3ef72d4e',
                    'Sec-Fetch-Dest': 'empty',
                    'Sec-Fetch-Mode': 'cors',
                    'Sec-Fetch-Site': 'cross-site',
                    'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36',
                    'X-PowerBI-ResourceKey': '484fa728-d848-47d1-a8ed-8cdd1aac7e9f',
        }"
Tulane,N/A,https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/,N/A,N/A,N/A
Sacramento,Deaths,https://services6.arcgis.com/yeTSZ1znt7H7iDG7/arcgis/rest/services/COVID19_Deaths_by_Race_Ethnicity/FeatureServer/0/query?f=json&where=1%3D1&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&orderByFields=Percent_%20desc&resultOffset=0&resultRecordCount=20&resultType=standard&cacheHint=true,GET,N/A,N/A
Sacramento,Cases,https://services6.arcgis.com/yeTSZ1znt7H7iDG7/arcgis/rest/services/COVID19_Race_Ethnicity/FeatureServer/0/query?f=json&where=1%3D1&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&orderByFields=Percent_%20desc&resultOffset=0&resultRecordCount=20&resultType=standard&cacheHint=true,GET,N/A,N/A
Sacramento,Total Cases,https://services6.arcgis.com/yeTSZ1znt7H7iDG7/arcgis/rest/services/Cases/FeatureServer/0/query?f=json&where=1%3D1&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&resultOffset=0&resultRecordCount=50&resultType=standard&cacheHint=true,GET,N/A,N/A
Los Angeles,All,http://publichealth.lacounty.gov/media/Coronavirus/locations.htm,GET,N/A,NA
Santa Barbara,N/A,https://publichealthsbc.org/dashboard/,N/A,N/A,N/A
Imperial County,Cases,https://services7.arcgis.com/RomaVqqozKczDNgd/arcgis/rest/services/jtXgg/FeatureServer/0/query?f=json&where=1%3D1&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&outStatistics=%5B%7B%22statisticType%22%3A%22avg%22%2C%22onStatisticField%22%3A%22ETHNICITY_HISPANIC_OR_LATINO%22%2C%22outStatisticFieldName%22%3A%22ETHNICITY_HISPANIC_OR_LATINO%22%7D%2C%7B%22statisticType%22%3A%22avg%22%2C%22onStatisticField%22%3A%22ETHNICITY_NON_x002d_HISPANIC_OR%22%2C%22outStatisticFieldName%22%3A%22ETHNICITY_NON_x002d_HISPANIC_OR%22%7D%2C%7B%22statisticType%22%3A%22avg%22%2C%22onStatisticField%22%3A%22ETHNICITY_OTHER%22%2C%22outStatisticFieldName%22%3A%22ETHNICITY_OTHER%22%7D%2C%7B%22statisticType%22%3A%22avg%22%2C%22onStatisticField%22%3A%22ETHNICITY_UNKNOWN%22%2C%22outStatisticFieldName%22%3A%22ETHNICITY_UNKNOWN%22%7D%5D&resultType=standard&cacheHint=true,GET,N/A,N/A
Imperial County,Deaths,https://services7.arcgis.com/RomaVqqozKczDNgd/arcgis/rest/services/s0vvL/FeatureServer/0/query?f=json&where=1%3D1&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&groupByFieldsForStatistics=ETHNICITY&outStatistics=%5B%7B%22statisticType%22%3A%22count%22%2C%22onStatisticField%22%3A%22ID%22%2C%22outStatisticFieldName%22%3A%22value%22%7D%5D&resultType=standard&cacheHint=true,GET,N/A,N/A
Riverside,Cases,https://services1.arcgis.com/pWmBUdSlVpXStHU6/arcgis/rest/services/COVID19_Race_Graph/FeatureServer/0/query?f=json&where=Race%20NOT%20IN(%27Unknown%27)%20AND%20Race%20NOT%20IN(%27Total%20Pop%27)&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&orderByFields=Rate_100K%20asc&outSR=102100&resultOffset=0&resultRecordCount=32000&resultType=standard&cacheHint=true,GET,N/A,N/A
San Diego,Cases,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html,N/A,N/A,N/A
